year,month,metro,city,cntr,custCnt,powerUsage,bill,unitCost,cntrPwr
2026,07,경기도,김포시,가로등,17641,2250744,387613756,172.2,28919
2026,07,경기도,김포시,교육용,162,4122514,657960379,159.6,74292
2026,07,경기도,김포시,농사용,11155,8831836,783761594,88.7,125488
2026,07,경기도,김포시,산업용,12326,174359189,35101637816,201.3,1785173
2026,07,경기도,김포시,심 야,4179,1245526,123503160,99.2,115262
2026,07,경기도,김포시,일반용,30229,113414497,21101383933,186.1,1195992
2026,07,경기도,김포시,주택용,70296,73715087,11905484467,161.5,822994
2026,06,경기도,김포시,가로등,17638,2345025,399097490,170.2,28918
2026,06,경기도,김포시,교육용,162,3652861,626409515,171.5,74292
2026,06,경기도,김포시,농사용,11152,10558501,875120563,82.9,125523
2026,06,경기도,김포시,산업용,12345,162970335,31654541829,194.2,1783861
2026,06,경기도,김포시,심 야,4185,1647346,158509020,96.2,115420
2026,06,경기도,김포시,일반용,30211,98764000,17443968865,176.6,1188753
2026,06,경기도,김포시,주택용,70171,64425174,10113262838,157,822460
2026,05,경기도,김포시,가로등,17628,2470684,412545863,167,28910
2026,05,경기도,김포시,교육용,162,2863830,414448643,144.7,74292
2026,05,경기도,김포시,농사용,11145,10630199,867757186,81.6,125784
2026,05,경기도,김포시,산업용,12355,159601463,28572151928,179,1784691
2026,05,경기도,김포시,심 야,4189,2725104,256797043,94.2,115463
2026,05,경기도,김포시,일반용,30209,86308239,14061156868,162.9,1189167
2026,05,경기도,김포시,주택용,70053,60033541,9157199405,152.5,822066
2026,04,경기도,김포시,가로등,17658,2717934,440030198,161.9,28965
2026,04,경기도,김포시,교육용,161,3337801,466150965,139.7,74252
2026,04,경기도,김포시,농사용,11131,8334712,733323091,88,120299
2026,04,경기도,김포시,산업용,12347,185641656,32202629548,173.5,1783627
2026,04,경기도,김포시,심 야,4193,5286359,499056766,94.4,115566
2026,04,경기도,김포시,일반용,30257,90139770,14562212151,161.6,1187556
2026,04,경기도,김포시,주택용,70114,65564490,10416298191,158.9,823061
2026,03,경기도,김포시,가로등,17657,2763037,435537743,157.6,28964
2026,03,경기도,김포시,교육용,160,4799630,677801000,141.2,74247
2026,03,경기도,김포시,농사용,14201,7300149,676057036,92.6,118159
2026,03,경기도,김포시,산업용,12359,172043385,31344095738,182.2,1735974
2026,03,경기도,김포시,심 야,4202,7540385,805953116,106.9,115833
2026,03,경기도,김포시,일반용,30206,96311056,16150793936,167.7,1185617
2026,03,경기도,김포시,주택용,69977,63941974,9966452986,155.9,822126
2026,02,경기도,김포시,가로등,17656,3072566,481488769,156.7,28963
2026,02,경기도,김포시,교육용,161,4571031,657536238,143.8,74297
2026,02,경기도,김포시,농사용,11072,9872560,890534070,90.2,94476
2026,02,경기도,김포시,산업용,12359,215276955,40285883176,187.1,1733927
2026,02,경기도,김포시,심 야,4212,11496903,1325373791,115.3,116069
2026,02,경기도,김포시,일반용,30145,124296127,21706644499,174.6,1181261
2026,02,경기도,김포시,주택용,69950,77347127,13243529457,171.2,822111
2026,01,경기도,김포시,가로등,17651,3273489,497128290,151.9,28958
2026,01,경기도,김포시,교육용,162,5606556,752921717,134.3,73972
2026,01,경기도,김포시,농사용,11076,9440344,853833848,90.4,94755
2026,01,경기도,김포시,산업용,12368,212137138,40080310136,188.9,1739399
2026,01,경기도,김포시,심 야,4217,10462601,1205299828,115.2,116266
2026,01,경기도,김포시,일반용,30180,125219347,21911008600,175,1175954
2026,01,경기도,김포시,주택용,69869,73874052,12366143534,167.4,821617
2025,12,경기도,김포시,가로등,17643,3153113,476037035,151,28950
2025,12,경기도,김포시,교육용,161,6531847,830863224,127.2,72971
2025,12,경기도,김포시,농사용,11084,7928959,730614465,92.1,95162
2025,12,경기도,김포시,산업용,12388,193483545,37533809972,194,1742561
2025,12,경기도,김포시,심 야,4223,7431094,854322809,115,116479
2025,12,경기도,김포시,일반용,30127,105114344,19089453124,181.6,1174106
2025,12,경기도,김포시,주택용,69785,66048966,10398746377,157.4,821568
2025,11,경기도,김포시,가로등,17617,3085890,472043910,153,28908
2025,11,경기도,김포시,교육용,161,3978993,652702301,164,73221
2025,11,경기도,김포시,농사용,14208,8688566,773145660,89,125346
2025,11,경기도,김포시,산업용,12397,176867779,33627648587,190.1,1732796
2025,11,경기도,김포시,심 야,4229,3998917,413682890,103.4,116646
2025,11,경기도,김포시,일반용,30060,87508272,15600554470,178.3,1169252
2025,11,경기도,김포시,주택용,69685,64887141,10097687263,155.6,821054
2025,10,경기도,김포시,가로등,17810,2834016,439816374,155.2,29107
2025,10,경기도,김포시,교육용,161,2911350,415372068,142.7,72971
2025,10,경기도,김포시,농사용,11132,7534456,707586468,93.9,118798
2025,10,경기도,김포시,산업용,12405,142133105,26563288783,186.9,1784299
2025,10,경기도,김포시,심 야,4234,1388199,134236894,96.7,116754
2025,10,경기도,김포시,일반용,30061,89486117,14327489898,160.1,1171163
2025,10,경기도,김포시,주택용,69631,70761481,11484756011,162.3,820995
2025,09,경기도,김포시,가로등,17806,2617948,421086165,160.8,28946
2025,09,경기도,김포시,교육용,162,4326796,619062391,143.1,72997
2025,09,경기도,김포시,농사용,11129,10466916,930405400,88.9,125686
2025,09,경기도,김포시,산업용,12418,177284009,33000358469,186.1,1784330
2025,09,경기도,김포시,심 야,4237,1077987,107389820,99.6,116849
2025,09,경기도,김포시,일반용,30121,114415301,19118962794,167.1,1174961
2025,09,경기도,김포시,주택용,69548,100499080,17657066613,175.7,820686
2025,08,경기도,김포시,가로등,17786,2456854,403942122,164.4,28892
2025,08,경기도,김포시,교육용,161,3819391,634616414,166.2,72497
