year,month,metro,city,biz,new,expansion,cancel
2026,07,경기도,김포시,건설업,936,5,202
2026,07,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",10,0,10
2026,07,경기도,김포시,교육 서비스업,15,0,0
2026,07,경기도,김포시,"농업, 임업 및 어업",61,64,46
2026,07,경기도,김포시,도매 및 소매업,211,172,136
2026,07,경기도,김포시,부동산업,2779,496,2806
2026,07,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",80,11,11
2026,07,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",0,930,10
2026,07,경기도,김포시,숙박 및 음식점업,180,141,85
2026,07,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",205,0,0
2026,07,경기도,김포시,운수 및 창고업,18,14,18
2026,07,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",1019,0,139
2026,07,경기도,김포시,정보통신업,9921,0,4
2026,07,경기도,김포시,제조업,2896,9490,3186
2026,07,경기도,김포시,주택용,242,1856,688
2026,07,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",213,3,25
2026,06,경기도,김포시,건설업,657,0,190
2026,06,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",27,0,5
2026,06,경기도,김포시,"농업, 임업 및 어업",83,80,50
2026,06,경기도,김포시,도매 및 소매업,53,174,114
2026,06,경기도,김포시,부동산업,907,1012,1026
2026,06,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0,5
2026,06,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",0,450,0
2026,06,경기도,김포시,숙박 및 음식점업,85,237,78
2026,06,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",10,52,40
2026,06,경기도,김포시,운수 및 창고업,86,35,13
2026,06,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",1657,1202,55
2026,06,경기도,김포시,"전문, 과학 및 기술 서비스업",0,0,604
2026,06,경기도,김포시,정보통신업,16,1,52
2026,06,경기도,김포시,제조업,3389,2914,3612
2026,06,경기도,김포시,주택용,249,879,429
2026,06,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",84,17,10
2026,05,경기도,김포시,건설업,256,0,68
2026,05,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",182,0,6
2026,05,경기도,김포시,교육 서비스업,0,950,0
2026,05,경기도,김포시,"농업, 임업 및 어업",220,57,72
2026,05,경기도,김포시,도매 및 소매업,795,210,258
2026,05,경기도,김포시,부동산업,2161,306,551
2026,05,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0,5
2026,05,경기도,김포시,숙박 및 음식점업,40,277,48
2026,05,경기도,김포시,운수 및 창고업,22,0,0
2026,05,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",198,3,10
2026,05,경기도,김포시,정보통신업,60,1,5
2026,05,경기도,김포시,제조업,1758,3064,3994
2026,05,경기도,김포시,주택용,230,24,316
2026,05,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",945,12,0
2026,04,경기도,김포시,건설업,2348,7,164
2026,04,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",30,400,8
2026,04,경기도,김포시,교육 서비스업,25,0,0
2026,04,경기도,김포시,금융 및 보험업,3,0,0
2026,04,경기도,김포시,"농업, 임업 및 어업",721,418,239
2026,04,경기도,김포시,도매 및 소매업,327,223,43
2026,04,경기도,김포시,부동산업,767,379,1181
2026,04,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",0,7,3
2026,04,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",50,0,0
2026,04,경기도,김포시,숙박 및 음식점업,160,237,218
2026,04,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",61,27,0
2026,04,경기도,김포시,운수 및 창고업,335,75,40
2026,04,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",365,3,169
2026,04,경기도,김포시,"전문, 과학 및 기술 서비스업",0,6,0
2026,04,경기도,김포시,정보통신업,34,1,4
2026,04,경기도,김포시,제조업,3013,4234,4041
2026,04,경기도,김포시,주택용,306,18,427
2026,04,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",0,34,0
2026,03,경기도,김포시,건설업,1213,44,257
2026,03,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",5124,9,0
2026,03,경기도,김포시,교육 서비스업,27,16,8
2026,03,경기도,김포시,금융 및 보험업,0,23,0
2026,03,경기도,김포시,"농업, 임업 및 어업",690,64,365
2026,03,경기도,김포시,도매 및 소매업,154,113,42
2026,03,경기도,김포시,부동산업,580,742,496
2026,03,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",0,5,0
2026,03,경기도,김포시,숙박 및 음식점업,7,102,79
2026,03,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",105,24,30
2026,03,경기도,김포시,운수 및 창고업,8,25,74
2026,03,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",1108,35,62
2026,03,경기도,김포시,"전문, 과학 및 기술 서비스업",0,5,894
2026,03,경기도,김포시,정보통신업,48,0,7
2026,03,경기도,김포시,제조업,3511,5631,2142
2026,03,경기도,김포시,주택용,256,50,680
2026,03,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",10,10,10
2026,02,경기도,김포시,건설업,6652,10,180
2026,02,경기도,김포시,광업,0,0,80
2026,02,경기도,김포시,교육 서비스업,8,16,0
2026,02,경기도,김포시,"농업, 임업 및 어업",353,7,244
2026,02,경기도,김포시,도매 및 소매업,578,180,18
2026,02,경기도,김포시,부동산업,350,367,495
2026,02,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",3,0,0
2026,02,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",5,37,0
2026,02,경기도,김포시,숙박 및 음식점업,40,112,19
2026,02,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",0,5,0
2026,02,경기도,김포시,운수 및 창고업,8,0,5
2026,02,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",943,15,93
2026,02,경기도,김포시,"전문, 과학 및 기술 서비스업",5,12,0
2026,02,경기도,김포시,정보통신업,17,1,7
2026,02,경기도,김포시,제조업,6756,1920,1699
2026,02,경기도,김포시,주택용,6680,110,505
2026,02,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",0,27,0
2026,01,경기도,김포시,건설업,978,10,298
2026,01,경기도,김포시,교육 서비스업,0,235,0
2026,01,경기도,김포시,"농업, 임업 및 어업",94,83,55
2026,01,경기도,김포시,도매 및 소매업,37,105,122
2026,01,경기도,김포시,부동산업,1213,577,568
2026,01,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",7,2,0
2026,01,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",3250,0,315
2026,01,경기도,김포시,숙박 및 음식점업,10,165,43
2026,01,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",0,12,0
2026,01,경기도,김포시,운수 및 창고업,63,0,0
2026,01,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",2368,13,622
2026,01,경기도,김포시,정보통신업,0,0,16
2026,01,경기도,김포시,제조업,2019,2557,3148
2026,01,경기도,김포시,주택용,742,110,544
2025,12,경기도,김포시,건설업,2726,16,217
2025,12,경기도,김포시,"공공 행정, 국방 및 사회보장 행정",0,0,9
2025,12,경기도,김포시,교육 서비스업,0,5,0
2025,12,경기도,김포시,"농업, 임업 및 어업",62,40,58
2025,12,경기도,김포시,도매 및 소매업,435,166,12
2025,12,경기도,김포시,보건업 및 사회복지 서비스업,0,0,40
2025,12,경기도,김포시,부동산업,748,593,1078
2025,12,경기도,김포시,"사업시설 관리, 사업 지원 및 임대 서비스업",0,3,5
2025,12,경기도,김포시,"수도, 하수 및 폐기물 처리, 원료 재생업",0,12,10
2025,12,경기도,김포시,숙박 및 음식점업,43,22,153
2025,12,경기도,김포시,"예술, 스포츠 및 여가관련 서비스업",0,0,50
2025,12,경기도,김포시,운수 및 창고업,30,37,12
2025,12,경기도,김포시,"전기, 가스, 증기 및 공기 조절 공급업",936,2594,362
2025,12,경기도,김포시,정보통신업,33,1,173
2025,12,경기도,김포시,제조업,4834,1448,5362
2025,12,경기도,김포시,주택용,228,71,491
2025,12,경기도,김포시,"협회 및 단체, 수리 및 기타 개인 서비스업",0,12,7
2025,11,경기도,김포시,건설업,686,947,686
